English Word,Transcription,Russian Translation,Difficulty,Category,Example Sentence
wait,weɪt,ждать,1,Common Phrases,
market,ˈmɑːrkɪt,рынок,1,Places,
die,daɪ,умирать,1,Common Phrases,
send,sɛnd,отправлять,1,Common Phrases,
expect,ɪkˈspɛkt,ожидать,1,Common Phrases,
sense,sɛns,чувство,1,Common Phrases,
build,bɪld,строить,1,Common Phrases,
stay,steɪ,оставаться,1,Common Phrases,
fall,fɔːl,падать,1,Common Phrases,
oh,oʊ,ох,1,Common Phrases,
nation,ˈneɪʃən,нация,1,Common Phrases,
plan,plæn,план,1,Common Phrases,
cut,kʌt,резать,1,Common Phrases,
college,ˈkɒlɪʤ,колледж,1,Places,
interest,ˈɪntrəst,интерес,1,Common Phrases,
death,dɛθ,смерть,1,Common Phrases,
course,kɔːrs,курс,1,Common Phrases,
someone,ˈsʌmwʌn,кто-то,1,Common Phrases,
experience,ɪksˈpɪəriəns,опыт,1,Common Phrases,
behind,bɪˈhaɪnd,позади,1,Common Phrases,
reach,riːʧ,достигать,1,Common Phrases,
local,ˈloʊkəl,местный,1,Common Phrases,
kill,kɪl,убивать,1,Common Phrases,
six,sɪks,шесть,1,Numbers,
remain,rɪˈmeɪn,оставаться,1,Common Phrases,
effect,ɪˈfɛkt,эффект,1,Common Phrases,
